articleId,liveUrl,issue,affectedField,recommendedOwner,recommendedNextSprint,severity,blockingStatus
TC-041,https://taskcover.com/insights/ai-search/entity-authority-for-ai-search-how-brands-become-clear-consistent-and-verif,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-041,https://taskcover.com/insights/ai-search/entity-authority-for-ai-search-how-brands-become-clear-consistent-and-verif,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-041,https://taskcover.com/insights/ai-search/entity-authority-for-ai-search-how-brands-become-clear-consistent-and-verif,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-041,https://taskcover.com/insights/ai-search/entity-authority-for-ai-search-how-brands-become-clear-consistent-and-verif,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-042,https://taskcover.com/insights/ai-search/ai-prompt-research-how-to-map-buyer-questions-query-fan-out-and-source-need,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-042,https://taskcover.com/insights/ai-search/ai-prompt-research-how-to-map-buyer-questions-query-fan-out-and-source-need,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-042,https://taskcover.com/insights/ai-search/ai-prompt-research-how-to-map-buyer-questions-query-fan-out-and-source-need,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-042,https://taskcover.com/insights/ai-search/ai-prompt-research-how-to-map-buyer-questions-query-fan-out-and-source-need,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-042,https://taskcover.com/insights/ai-search/ai-prompt-research-how-to-map-buyer-questions-query-fan-out-and-source-need,Metadata length warning(s): metaTitle too-short (18 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
TC-043,https://taskcover.com/insights/ai-search/ai-visibility-scorecard-measure-mentions-and-citations-without-false-precis,"4 prose paragraph(s) open with an FAQ question but paraphrase (not exactly repeat) the structured FAQ answer — presented twice in different wording, needs manual reconciliation rather than auto-merge.",faq block / prose FAQ section,Content ops,S00 follow-up (hygiene),medium,not-blocked
TC-043,https://taskcover.com/insights/ai-search/ai-visibility-scorecard-measure-mentions-and-citations-without-false-precis,No body image or explanatory visual.,blocks (image/video),Design / content ops,S01 (content quality),low,not-blocked
TC-043,https://taskcover.com/insights/ai-search/ai-visibility-scorecard-measure-mentions-and-citations-without-false-precis,No related article slugs — missing internal link graph.,internalLinking.relatedArticleSlugs,Content ops,S01 (internal linking),low,not-blocked
TC-043,https://taskcover.com/insights/ai-search/ai-visibility-scorecard-measure-mentions-and-citations-without-false-precis,Slug likely truncated (length=75). Changing live slugs is out of scope for S00.,slug,SEO lead,S01 (requires redirect plan),medium,not-blocked
TC-043,https://taskcover.com/insights/ai-search/ai-visibility-scorecard-measure-mentions-and-citations-without-false-precis,Metadata length warning(s): metaTitle too-short (23 chars) — rewriting requires SERP-intent judgment.,metadata.metaTitle / metadata.metaDescription,SEO lead,S01 (metadata pass),low,not-blocked
